id,make,model,model_year,vin
1,Ford,Econoline E150,2001,JH4CL96846C423627
2,Toyota,Sequoia,2009,3C63DPAL1CG952192
3,Rolls-Royce,Phantom,2013,5XYZT3LB7DG991758
4,Buick,Regal,1991,3FA6P0D97DR286486
5,Ford,Crown Victoria,1993,JTDKN3DU8B0631428
6,Dodge,Caliber,2008,WVGEF9BP9ED668619
7,Toyota,Matrix,2009,WBABW53456P965176
8,Pontiac,Grand Prix,1990,3D73M4HL5AG541183
9,Nissan,Maxima,2004,JTEBU4BF3BK278321
10,Ford,Crown Victoria,2008,JTHFF2C24E2634018
11,Mercedes-Benz,E-Class,1992,19UYA42723A602058
12,Spyker,C8 Double 12 S,2006,JHMGE8G29AS033718
13,Chevrolet,Sportvan G20,1993,5UXFG8C58BL772077
14,Lexus,LS,2005,WBAVB735X7F531453
15,BMW,M Roadster,2008,1G4GD5ED2BF522149
16,Suzuki,Forenza,2007,YV4902DZ4C2600036
17,Volkswagen,Eurovan,1994,KM8JT3AFXFU416022
18,Mitsubishi,Tredia,1986,WBAFU9C56DD963328
19,Lincoln,Navigator,2003,1D4PT5GKXBW668871
20,Chevrolet,Aveo,2006,1GTCSBD90A8238025
21,Isuzu,Rodeo,1992,JHMFB4F29CS108421
22,Mazda,Protege,2003,3VWJX7AJXAM465610
23,Volkswagen,Scirocco,1987,1FTMF1EW2AK841680
24,Aston Martin,V8 Vantage,2007,4USFE835X7L129335
25,Audi,5000CS Quattro,1986,WAUBFAFL7EN815849
26,BMW,650,2006,1G6YX36D695474628
27,Saturn,S-Series,1995,JTEBU4BF6EK851149
28,Mitsubishi,Truck,1988,1G4PS5SK1C4290651
29,BMW,5 Series,2011,JM1NC2LFXE0717831
30,Mercedes-Benz,SL-Class,1998,WAULT68E24A373805
31,Pontiac,Vibe,2009,SAJWJ1CD9F8176519
32,Chrysler,Sebring,1996,WAUED64BX1N476394
33,Pontiac,Solstice,2008,WBA5A7C58FG453203
34,Kia,Rio,2003,WUAGNAFG2CN398266
35,Dodge,D350 Club,1992,5FPYK1F27AB272129
36,Ford,F350,2011,5BZAF0AA8EN604321
37,Eagle,Talon,1990,JA32X2HU8BU285595
38,Lotus,Exige,2008,1G4GG5G33CF827544
39,Subaru,SVX,1992,19XFA1E37AE469918
40,Corbin,Sparrow,2004,WBA6B2C5XFG190880
41,Volkswagen,GTI,1987,1GYS3JEF5CR645370
42,Volvo,S80,2010,3C3CFFFH3ET826609
43,Mercedes-Benz,S-Class,1998,WBAGN63544D614751
44,Dodge,Intrepid,1995,KMHHT6KD2DU851854
45,Cadillac,Seville,2004,1FTFW1E80AF853068
46,Volkswagen,Passat,2001,1G4PS5SKXC4171223
47,GMC,Sonoma,2002,WAUHF78PX8A435560
48,Bugatti,Veyron,2011,WBAAV53451J337824
49,Pontiac,Grand Am,1996,3GYFNFE39CS082657
50,Mercedes-Benz,400E,1993,3D73M4EL2BG728936
51,Subaru,Outback,2011,WBAYF8C51DD529671
52,Dodge,Ram,2007,5N1AR1NB9BC304077
53,Mazda,B-Series Plus,1995,WDDNG7DBXDA400773
54,Saab,9000,1999,1G6AS5SX7E0539649
55,Honda,Accord,1994,WVWBB7AJ3DW335498
56,Honda,Civic,2002,3C4PDDAG2ET284621
57,Pontiac,Firefly,1988,1G4GF5G36FF539802
58,Kia,Sportage,2000,WAUUFAFH6AN859890
59,Pontiac,Sunfire,2001,4T1BF1FK0EU893417
60,Jeep,Grand Cherokee,2001,1GYFK53269R441455
61,Buick,Century,1999,KNAFK4A69E5257549
62,Pontiac,Firefly,1991,3C3CFFDR9CT509720
63,Mercedes-Benz,CL-Class,2001,WAUKD98P57A726134
